canonical_name,display_name,record_count,sources_found_in,likely_status
we oneil certified,W.E. O'Neil                                               **Certified***,2,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
my storge,MY STORGE GROUP,2,certs_2025_all | certs_A | excel_location_billing_invoices | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
armays not in contract,ARMAYS Not in Contract,2,aia_all | certs_2025_all | certs_A | excel_cp_invoices_2024 | excel_credit_memos | excel_location_billing_invoices | excel_location_completed | excel_location_contract_billing | excel_location_need_start | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed | excel_swppp_need_schedule | excel_wt_sw,UNKNOWN
greenway apartments,Greenway Apartments,2,certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
gs-sm city north owner,GS-SM City North Owner,2,aia_all | certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
aptitude apache,Aptitude Apache LLC,2,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
rdo equipment,RDO Equipment Co,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
idg,IDG,2,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
germann road transfer station expansion,Germann Road Transfer Station Expansion,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
gs sm city northowner ii,GS SM City NorthOwner II,2,certs_2025_all | excel_rental_items | excel_rental_swppp_numbers,UNKNOWN
gbfr peoriausa,GBFR PeoriaUSA Inc,2,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
gila river indian community office of the treasurer,Gila River Indian Community Office of the Treasurer,2,certs_2025_all,UNKNOWN
the ramson,The Ramson Group,2,certs_2025_all | excel_location_billing_invoices | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
tyr tactical,Tyr Tactical,2,certs_2025_all | excel_location_completed,UNKNOWN
tucson landing,Tucson Landing,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
tom nichols excavating,Tom Nichols Excavating,2,certs_2025_all | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
sparrow surprise,Sparrow Surprise,2,aia_all | certs_2025_all | certs_A | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed | excel_swppp_need_schedule,UNKNOWN
streamliner 67th avenue,STREAMLINER 67TH AVENUE,2,certs_2025_all | excel_location_completed | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
sp scottsdale,SP Scottsdale,2,aia_all | certs_2025_all | certs_A | excel_location_completed | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_need_schedule | excel_wt_sw,UNKNOWN
fullmer,Fullmer Construction,2,certs_2025_all,UNKNOWN
999 playa del norte,999 Playa del Norte,2,aia_all | certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
32nd southern apartments,32nd & Southern Apartments -,2,certs_2025_all | excel_location_billing_invoices | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed | excel_wt_sw,UNKNOWN
2040 az owner,2040 AZ Owner,2,certs_2025_all,UNKNOWN
hancock,Hancock Builders,2,certs_2025_all | excel_location_completed,UNKNOWN
hovnanian,Hovnanian Enterprises,2,certs_2025_all | excel_cp_invoices_2024 | excel_credit_memos | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
millstone weber,Millstone Weber,2,certs_2025_all | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
merkin vineyards,Merkin Vineyards,2,aia_all | certs_2025_all | certs_A | excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
morgan taylor homes,Morgan Taylor Homes,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
mayo clinic,Mayo Clinic,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
mcref iii,MCREF III,2,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
mountainside high school,Mountainside High School,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
marc taylor,Marc Taylor Inc,2,certs_2025_all | excel_location_completed | excel_swppp_bv,UNKNOWN
maracay homes,Maracay Homes,2,certs_2025_all | excel_credit_memos | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed | excel_wt_sw,UNKNOWN
costco depot expansion,Costco Depot Expansion,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_wt_sw,UNKNOWN
dysart unified school district 89,Dysart Unified School District 89,2,certs_2025_all,UNKNOWN
desert legacy,Desert Legacy Construction,2,aia_all | certs_2025_all | excel_location_completed | excel_rental_bv | excel_swppp_bv | excel_swppp_confirmed | excel_wt_sw,UNKNOWN
dcbg of arizona,DCBG of Arizona,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
dysart west point offsite,Dysart West Point Offsite,2,certs_2025_all,UNKNOWN
ditch witch west,Ditch Witch West,2,certs_2025_all,UNKNOWN
vinyl tech rail expansion,VINYL TECH RAIL EXPANSION,2,aia_all | certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
vantage data centers management,Vantage Data Centers Management Company,2,certs_2025_all | excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
viasun,ViaSun Corporation,2,certs_2025_all | excel_rental_bv,UNKNOWN
buffalo ridge inert landfill,Buffalo Ridge Inert Landfill,2,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
landmark title assurance agency of arizona,Landmark Title Assurance Agency of Arizona,2,certs_2025_all,UNKNOWN
legacy traditional school san tan,Legacy Traditional School San Tan,2,certs_2025_all | excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
lake havasu city,Lake Havasu City,2,certs_2025_all,UNKNOWN
lcg kierland,LCG Kierland,2,certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
pac west rentals,Pac West Rentals,2,certs_2025_all | certs_A | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
paladin risk management,Paladin Risk Management,2,certs_2025_all | excel_cp_invoices_2024 | excel_location_completed | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
wjh,WJH LLC,2,certs_2025_all,UNKNOWN
marino lombardi,Marino Lombardi,1,excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
rh dupper,RH Dupper,1,excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
hamblin david,"Hamblin, David",1,excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
apodaca wall systems,Apodaca Wall Systems,1,excel_rental_swppp_numbers | excel_wt_sw,UNKNOWN
dluzan scott,"Dluzan, Scott",1,certs_2025_all | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
emjljl,EMJ/LJL,1,excel_rental_swppp_numbers,UNKNOWN
az painting and consulting,AZ Painting and Consulting,1,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
mike miguire,Mike Miguire,1,excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
mckenzies midtown tavern,McKenzies Midtown tavern,1,excel_rental_swppp_numbers,UNKNOWN
