canonical_name,display_name,record_count,qb_company_name,qb_customer_id,match_type
"hamblen david",""Hamblen","1","","","NONE"
"trinsic- was cm precision","Trinsic- Was CM Precision","1","","","NONE"
"hoidal tom",""Hoidal","1","","","NONE"
"genova","Genova Development","1","","","NONE"
"dluzen scott",""Dluzen","1","","","NONE"
"bela flor used to be billed to jn pebler construction","Bela Flor (used to be billed to J.N. Pebler Construction)","1","","","NONE"
"lantern group contraction","Lantern Group Contraction","1","","","NONE"
"brydant real estate","Brydant Real Estate","1","Brydant Real Estate","Brydant Real Estate","EXACT"
"41 north was ed smith paving","41 North (was ED Smith Paving)","1","","","NONE"
"northwind resource consultants","Northwind Resource Consultants","1","","","NONE"
"ac arizona renovations","A&C Arizona Renovations","1","A&C Arizona Renovations LLC","A&C Arizona Renovations LLC","STARTS_WITH"
"haydon used to be desert mountain club",""Haydon","1","","","NONE"
"bates","Bates Builders","1","Bates Builder of Fine Homes","Bates Builders of Fine Homes","STARTS_WITH"
"penta","Penta","1","","","NONE"
"prologis- was graycor","Prologis- Was Graycor","1","Prologis","Prologis","STARTS_WITH"
"whiting turner- was drive development partners","Whiting Turner- Was Drive Development Partners","1","","","NONE"
"boldt- was tippman","Boldt- was Tippman","1","","","NONE"
"prologis- phx02290","Prologis- PHX02290","1","Prologis","Prologis","STARTS_WITH"
"agate- was keegan","Agate- was Keegan","1","","","NONE"
"porter acme- was 180 degree and dwill","Porter Acme- Was 180 Degree and Dwill","1","","","NONE"
"primak formerly agate","Primak formerly Agate","1","","","NONE"
"hat trick- used to be belmont homes","Hat Trick- used to be Belmont Homes","1","","","NONE"
"harris assocciates","Harris Assocciates","1","","","NONE"
"agateprimak","Agate/Primak","1","","","NONE"
"armstrong-five star- f roberts","Armstrong-Five Star- F. Roberts","1","","","NONE"
"agate - now primak","Agate - Now Primak","1","","","NONE"
"holder was ww clyde",""Holder","1","","","NONE"
"mo 25 llc was under pickering brad",""Mo 25 LLC","1","MO 25 LLC","MO 25 LLC","STARTS_WITH"
"on site","On Site Builders","1","","","NONE"
"cbre- was fcl","CBRE- was FCL Builders","1","","","NONE"
"imagine general- was eleven residential","Imagine General- Was Eleven Residential","1","","","NONE"
